scientificName
Wallenia yunquensis
Wittmackia fawcettii
Wittmackia froesii
Wittmackia gregaria
Wittmackia incompta
Wittmackia inermis
Wittmackia ituberaensis
Wittmackia jamaicana
Wittmackia laesslei
Wittmackia laevigata
Wittmackia limae
Wittmackia lingulata
Wittmackia lingulatoides
Wittmackia linharesiorum
Wittmackia maranguapensis
Wittmackia mesoamericana
Wittmackia negrilensis
Wittmackia neoregelioides
Wittmackia patentissima
Wittmackia penduliflora
Wittmackia pendulispica
Wittmackia pernambucentris
Wittmackia polycephala
Wittmackia portoricensis
Wittmackia rohan-estyi
Wittmackia silvana
Wittmackia spinulosa
Wittmackia sulbahianensis
Wittmackia tentaculifera
Wittmackia turbinocalyx
Wittmackia urbaniana
Wittmackia viridostigma
Wittrockia cyathiformis
Wittrockia flavipetala
Wittrockia gigantea
Wittrockia superba
Wittrockia tenuisepala
Wittsteinia balansae
Wittsteinia papuana
Wittsteinia vacciniacea
Wodyetia bifurcata
Wolffia angusta
Wolffia arrhiza
Wolffia australiana
Wolffia borealis
Wolffia brasiliensis
Wolffia columbiana
Wolffia cylindracea
Wolffia elongata
Wolffia globosa
Wolffia microscopica
Wolffia neglecta
Wolffiella caudata
Wolffiella denticulata
Wolffiella gladiata
Wolffiella hyalina
Wolffiella lingulata
Wolffiella neotropica
Wolffiella oblonga
Wolffiella repanda
Wolffiella rotunda
Wolffiella welwitschii
Wollastonia biflora
Wollastonia bryanii
Wollastonia dentata
Wollastonia elongata
Wollastonia fauriei
Wollastonia glabrata
Wollastonia integrifolia
Wollastonia kamolensis
Wollastonia lavarum
Wollastonia micrantha
Wollastonia perdita
Wollastonia populifolia
Wollastonia remyi
Wollastonia scabriuscula
Wollastonia serrulata
Wollastonia subcordata
Wollastonia tenuifolia
Wollastonia tenuis
Wollastonia uniflora
Wollastonia venosa
Wollastonia waimeaensis
Woodburnia penduliflora
Woodfordia fruticosa
Woodfordia uniflora
Woodia mucronata
Woodia singularis
Woodia verruculosa
Woodianthus sotoi
Wooleya farinosa
Woollsia pungens
Worsleya procera
Wrightia angustifolia
Wrightia annamensis
Wrightia antidysenterica
Wrightia arborea
Wrightia calcicola
Wrightia candollei
Wrightia coccinea
Wrightia collettii
Wrightia demartiniana
Wrightia dolichocarpa
Wrightia dubia
Wrightia flavidorosea
Wrightia flavo-rosea
Wrightia hanleyi
Wrightia indica
Wrightia karaketii
Wrightia kwangtungensis
Wrightia laevis
Wrightia lanceolata
Wrightia lecomtei
Wrightia natalensis
Wrightia novobritannica
Wrightia palawanensis
Wrightia poomae
Wrightia puberula
Wrightia pubescens
Wrightia religiosa
Wrightia religiosa
Wrightia saligna
Wrightia siamensis
Wrightia sikkimensis
Wrightia sirikitiae
Wrightia tinctoria
Wrightia tokiae
Wrightia viridiflora
Wuacanthus microdontus
Wulfenia baldaccii
Wulfenia carinthiaca
Wulfenia glanduligera
Wulfenia orientalis
Wulfeniopsis amherstiana
Wulfeniopsis nepalensis
Wullschlaegelia aphylla
Wullschlaegelia calcarata
Wunderlichia azulensis
Wunderlichia bahiensis
Wunderlichia cruelsiana
Wunderlichia insignis
Wunderlichia mirabilis
Wunderlichia senae
Wuodendron praecox
Wurdastom bullata
Wurdastom cuatrecasasii
Wurdastom dorrii
Wurdastom dudleyi
Wurdastom ecuadorense
Wurdastom ecuadorensis
Wurdastom hexamera
Wurdastom lateriflora
Wurdastom sneidernii
Wurdastom subglabra
Wurfbainia aromatica
Wurfbainia bicorniculata
Wurfbainia biflora
Wurfbainia blumeana
Wurfbainia compacta
Wurfbainia elegans
Wurfbainia glabrifolia
Wurfbainia gracilis
Wurfbainia graminea
Wurfbainia hedyosma
Wurfbainia jainii
Wurfbainia longiligularis
Wurfbainia micrantha
Wurfbainia microcarpa
Wurfbainia mindanaensis
Wurfbainia mollis
Wurfbainia neoaurantiaca
Wurfbainia palawanensis
Wurfbainia quadratolaminaris
Wurfbainia schmidtii
Wurfbainia staminidiva
Wurfbainia tenella
Wurfbainia testacea
Wurfbainia uliginosa
Wurfbainia vera
Wurfbainia villosa
Wurmbea angustifolia
Wurmbea australis
Wurmbea biglandulosa
Wurmbea burrowsii
Wurmbea burttii
Wurmbea calcicola
Wurmbea capensis
Wurmbea centralis
Wurmbea cernua
Wurmbea citrina
Wurmbea compacta
Wurmbea decumbens
Wurmbea densiflora
Wurmbea deserticola
Wurmbea dilatata
Wurmbea dioica
Wurmbea dolichantha
Wurmbea drummondii
Wurmbea elatior
Wurmbea elongata
Wurmbea fluviatilis
Wurmbea glassii
Wurmbea graniticola
Wurmbea hiemalis
Wurmbea inflata
Wurmbea inframediana
Wurmbea inusta
Wurmbea kraussii
Wurmbea latifolia
Wurmbea marginata
Wurmbea minima
Wurmbea monantha
Wurmbea monopetala
Wurmbea murchisoniana
Wurmbea nilpinna
Wurmbea novae-zelandiae
Wurmbea odorata
Wurmbea punctata
Wurmbea pusilla
Wurmbea pygmaea
Wurmbea recurva
Wurmbea robusta
Wurmbea saccata
Wurmbea sinora
Wurmbea spicata
Wurmbea stellata
Wurmbea stricta
Wurmbea tenella
Wurmbea tenuis
Wurmbea tubulosa
Wurmbea uniflora
Wurmbea variabilis
Wurmbea viridiflora
Wydleria chilensis
Wydleria humilis
Wyethia amplexicaulis
Wyethia angustifolia
Wyethia arizonica
Wyethia cusickii
Wyethia glabra
Wyethia helenioides
Wyethia helianthoides
Wyethia longicaulis
Wyethia mollis
Xantheranthemum igneum
Xanthisma arenarium
Xanthisma blephariphylla
Xanthisma blephariphyllum
Xanthisma coloradoense
Xanthisma crutchfieldii
Xanthisma gracile
Xanthisma gracilis
Xanthisma grindelioides
Xanthisma gymnocephalum
Xanthisma gypsophilum
Xanthisma johnstonii
Xanthisma junceum
Xanthisma paradoxum
Xanthisma pseudorestiforme
Xanthisma restiforme
Xanthisma rhizomatum
Xanthisma scabrellum
Xanthisma spinulosum
Xanthisma stenolobum
Xanthisma texanum
Xanthisma viscidum
Xanthisma wigginsii
Xanthium argenteum
Xanthium pungens
Xanthium saccharatum
Xanthium spinosum
Xanthium strumarium
Xanthium strumarium
Xanthocephalum benthamianum
Xanthocephalum centauroides
Xanthocephalum durangense
Xanthocephalum gymnospermoides
Xanthocephalum humile
Xanthocephalum humile
Xanthoceras sorbifolium
Xanthocercis madagascariensis
Xanthocercis rabiensis
Xanthocercis zambesiaca
Xanthogalum purpurascens
Xanthogalum sachokianum
Xanthogalum tatianae
Xanthomyrtus angustifolia
Xanthomyrtus arfakensis
Xanthomyrtus bryophila
Xanthomyrtus cardiophylla
Xanthomyrtus compacta
Xanthomyrtus diplycosiifolia
Xanthomyrtus flavida
Xanthomyrtus grandiflora
Xanthomyrtus hienghenensis
Xanthomyrtus humilis
Xanthomyrtus kanalaensis
Xanthomyrtus koebrensis
Xanthomyrtus lanceolata
Xanthomyrtus leeuwenii
Xanthomyrtus montis-sucklingii
Xanthomyrtus montivaga
Xanthomyrtus oreophila
Xanthomyrtus ovata
Xanthomyrtus papuana
Xanthomyrtus polyclada
Xanthomyrtus schlechteri
Xanthomyrtus scolopacina
Xanthomyrtus splendens
Xanthomyrtus wendae
Xanthopappus subacaulis
Xanthophyllum acuminatissimum
Xanthophyllum adenotus
Xanthophyllum albicaule
Xanthophyllum amoenum
Xanthophyllum ancolanum
Xanthophyllum andamanicum
Xanthophyllum angustigemma
Xanthophyllum beccarianum
Xanthophyllum bibracteatum
Xanthophyllum bicolor
Xanthophyllum bombayanum
Xanthophyllum borneense
Xanthophyllum brachystachyum
Xanthophyllum bracteatum
Xanthophyllum brevipes
Xanthophyllum brigittae
Xanthophyllum bullatum
Xanthophyllum burkillii
Xanthophyllum celebicum
Xanthophyllum ceraceifolium
Xanthophyllum chartaceum
Xanthophyllum clovis
Xanthophyllum cochinchinense
Xanthophyllum cockburnii
Xanthophyllum colubrinum
Xanthophyllum contractum
Xanthophyllum crassum
Xanthophyllum cucullatum
Xanthophyllum discolor
Xanthophyllum eberhardtii
Xanthophyllum ecarinatum
Xanthophyllum eglandulosum
Xanthophyllum ellipticum
Xanthophyllum erythrostachyum
Xanthophyllum eurhynchum
Xanthophyllum excelsum
Xanthophyllum ferrugineum
Xanthophyllum flavescens
Xanthophyllum fragrans
Xanthophyllum geesinkii
Xanthophyllum geminatum
Xanthophyllum griffithii
Xanthophyllum hainanense
Xanthophyllum havilandii
Xanthophyllum heterophyllum
Xanthophyllum impressum
Xanthophyllum incertum
Xanthophyllum inflatum
Xanthophyllum ionanthum
Xanthophyllum korthalsianum
Xanthophyllum laevis
Xanthophyllum lanceatum
Xanthophyllum lateriflorum
Xanthophyllum lineare
Xanthophyllum longum
Xanthophyllum macrophyllum
Xanthophyllum malayanum
Xanthophyllum manickamii
Xanthophyllum montanum
Xanthophyllum monticola
Xanthophyllum neglectum
Xanthophyllum ngii
Xanthophyllum nigricans
Xanthophyllum nitidum
Xanthophyllum novoguinense
Xanthophyllum obscurum
Xanthophyllum octandrum
Xanthophyllum oliganthum
Xanthophyllum ovatifolium
Xanthophyllum pachycarpon
Xanthophyllum palawanense
Xanthophyllum papuanum
Xanthophyllum parvifolium
Xanthophyllum pauciflorum
Xanthophyllum pedicellatum
Xanthophyllum penibukanense
Xanthophyllum petiolatum
Xanthophyllum philippinense
Xanthophyllum poilanei
Xanthophyllum pseudoadenotus
Xanthophyllum pubescens
Xanthophyllum pulchrum
Xanthophyllum punctatum
Xanthophyllum purpureum
Xanthophyllum ramiflorum
Xanthophyllum rectum
Xanthophyllum reflexum
Xanthophyllum resupinatum
Xanthophyllum reticulatum
Xanthophyllum retinerve
Xanthophyllum rheophilum
Xanthophyllum rufum
Xanthophyllum schixocarpon
Xanthophyllum stipitatum
Xanthophyllum subcoriaceum
Xanthophyllum suberosum
Xanthophyllum sulphureum
Xanthophyllum sylvestre
Xanthophyllum tardicrescens
Xanthophyllum tenue
Xanthophyllum tenuipetalum
Xanthophyllum trichocladum
Xanthophyllum velutinum
Xanthophyllum venosum
Xanthophyllum virens
Xanthophyllum vitellinum
Xanthophyllum wrayi
Xanthophyllum yunnanense
Xanthophyllum zeylanicum
Xanthophytum alopecurum
Xanthophytum attopevense
Xanthophytum balansae
Xanthophytum borneense
Xanthophytum brookei
Xanthophytum bullatum
Xanthophytum calycinum
Xanthophytum capitatum
Xanthophytum capitellatum
Xanthophytum cylindricum
Xanthophytum ferrugineum
Xanthophytum foliaceum
Xanthophytum fruticulosum
Xanthophytum glabrum
Xanthophytum glomeratum
Xanthophytum grandiflorum
Xanthophytum grandifolium
Xanthophytum involucratum
Xanthophytum johannis-winkleri
Xanthophytum kinabaluense
Xanthophytum kwangtungense
Xanthophytum longipedunculatum
Xanthophytum magnisepalum
Xanthophytum minus
Xanthophytum nitens
Xanthophytum olivaceum
Xanthophytum papuanum
Xanthophytum polyanthum
Xanthophytum pubistylosum
Xanthophytum semiorbiculare
Xanthophytum sessile
Xanthophytum setosum
Xanthorhiza simplicissima
Xanthorrhoea acanthostachya
Xanthorrhoea acaulis
Xanthorrhoea arborea
Xanthorrhoea arenaria
Xanthorrhoea australis
Xanthorrhoea bracteata
Xanthorrhoea brevistyla
Xanthorrhoea brunonis
Xanthorrhoea caespitosa
Xanthorrhoea concava
Xanthorrhoea drummondii
Xanthorrhoea fulva
Xanthorrhoea glauca
Xanthorrhoea gracilis
Xanthorrhoea johnsonii
Xanthorrhoea latifolia
Xanthorrhoea macronema
Xanthorrhoea malacophylla
Xanthorrhoea media
Xanthorrhoea minor
Xanthorrhoea nana
Xanthorrhoea platyphylla
Xanthorrhoea preissii
Xanthorrhoea pumilio
Xanthorrhoea quadrangulata
Xanthorrhoea resinosa
Xanthorrhoea semiplana
Xanthorrhoea thorntonii
Xanthosia atkinsoniana
Xanthosia candida
Xanthosia ciliata
Xanthosia collina
Xanthosia dissecta
Xanthosia eichleri
Xanthosia fruticulosa
Xanthosia huegelii
Xanthosia juncea
Xanthosia kochii
Xanthosia leiophylla
Xanthosia peduncularis
Xanthosia pilosa
Xanthosia pinnatisecta
Xanthosia rotundifolia
Xanthosia scopulicola
Xanthosia silvatica
Xanthosia singuliflora
Xanthosia stellata
Xanthosia tasmanica
Xanthosia tenuior
Xanthosia ternifolia
Xanthosia tomentosa
Xanthosia tridentata
Xanthosoma acutiloba
Xanthosoma acutum
Xanthosoma akkermansii
Xanthosoma aristeguietae
Xanthosoma auriculatum
Xanthosoma baguense
Xanthosoma bayo
Xanthosoma belophyllum
Xanthosoma bilineatum
Xanthosoma bolivaranum
Xanthosoma brasiliense
Xanthosoma brevispathaceum
Xanthosoma caladioides
Xanthosoma caracu
Xanthosoma caulotuberculatum
Xanthosoma ceronii
Xanthosoma conspurcatum
Xanthosoma contractum
Xanthosoma cordatum
Xanthosoma cordifolium
Xanthosoma crassilaminum
Xanthosoma crassinervium
Xanthosoma cubense
Xanthosoma daguense
Xanthosoma dealbatum
Xanthosoma eggersii
Xanthosoma exiguum
Xanthosoma flavomaculatum
Xanthosoma fractum
Xanthosoma granvillei
Xanthosoma guttatum
Xanthosoma hannoniae
Xanthosoma harlingianum
Xanthosoma hebetatum
Xanthosoma helleborifolium
Xanthosoma herrerae
Xanthosoma hylaeae
Xanthosoma latestigmatum
Xanthosoma longilobum
Xanthosoma lucens
Xanthosoma mafaffoides
Xanthosoma mariae
Xanthosoma maroae
Xanthosoma maximiliani
Xanthosoma mendozae
Xanthosoma mexicanum
Xanthosoma narinoense
Xanthosoma nitidum
Xanthosoma nodosum
Xanthosoma orinocense
Xanthosoma paradoxum
Xanthosoma pariense
Xanthosoma pedatisectum
Xanthosoma peltatum
Xanthosoma pentaphyllum
Xanthosoma platylobum
Xanthosoma plowmanii
Xanthosoma poecile
Xanthosoma poeppigii
Xanthosoma pottii
Xanthosoma puberulum
Xanthosoma pubescens
Xanthosoma pulchrum
Xanthosoma purpureomaculatum
Xanthosoma reticulatum
Xanthosoma riedelianum
Xanthosoma riparium
Xanthosoma robustum
Xanthosoma rubrispathum
Xanthosoma sagittifolium
Xanthosoma saguasense
Xanthosoma seideliae
Xanthosoma stenospathum
Xanthosoma striatipes
Xanthosoma striolatum
Xanthosoma syngoniifolium
Xanthosoma taioba
Xanthosoma tarapotense
Xanthosoma trichophyllum
Xanthosoma trilobum
Xanthosoma ulei
Xanthosoma undipes
Xanthosoma viviparum
Xanthosoma weeksii
Xanthosoma wendlandii
Xanthosoma yucatanense
Xanthostemon arenarius
Xanthostemon aurantiacus
Xanthostemon bracteatus
Xanthostemon brassii
Xanthostemon carlii
Xanthostemon chrysanthus
Xanthostemon confertiflorus
Xanthostemon crenulatus
Xanthostemon eucalyptoides
Xanthostemon ferrugineus
Xanthostemon formosus
Xanthostemon francii
Xanthostemon fruticosus
Xanthostemon glaucus
Xanthostemon grandiflorus
Xanthostemon graniticus
Xanthostemon grisei
Xanthostemon gugerlii
Xanthostemon lateriflorus
Xanthostemon laurinus
Xanthostemon longipes
Xanthostemon macrophyllus
Xanthostemon melanoxylon
Xanthostemon multiflorus
Xanthostemon myrtifolius
Xanthostemon natunae
Xanthostemon novaguineensis
Xanthostemon oppositifolius
Xanthostemon paabaensis
Xanthostemon paradoxus
Xanthostemon petiolatus
Xanthostemon philippinensis
Xanthostemon psidioides
Xanthostemon pubescens
Xanthostemon retusus
Xanthostemon ruber
Xanthostemon sebertii
Xanthostemon speciosus
Xanthostemon sulfureus
Xanthostemon umbrosus
Xanthostemon velutinus
Xanthostemon verdugonianus
Xanthostemon verticillatus
Xanthostemon verus
Xanthostemon vieillardii
Xanthostemon whitei
Xanthostemon xerophilus
Xanthostemon youngii
Xantolis assamica
Xantolis baranensis
Xantolis boniana
Xantolis burmanica
Xantolis cambodiana
Xantolis hookeri
Xantolis longispinosa
Xantolis maritima
Xantolis parvifolia
Xantolis racemosa
Xantolis shweliensis
Xantolis siamensis
Xantolis stenosepala
Xantolis tomentosa
Xantonneopsis robinsonii
Xatardia scabra
Xenophyllum acerosum
Xenophyllum amblydactylum
Xenophyllum ciliolatum
Xenophyllum crassum
Xenophyllum dactylophyllum
Xenophyllum decorum
Xenophyllum digitatum
Xenophyllum esquilachense
Xenophyllum fontii
Xenophyllum humile
Xenophyllum incisum
Xenophyllum lycopodioides
Xenophyllum marcidum
Xenophyllum oscartovarii
Xenophyllum poposum
Xenophyllum pseudodigitatum
Xenophyllum rigidum
Xenophyllum rosenii
Xenophyllum roseum
Xenophyllum sotarense
Xenophyllum staffordiae
Xenophyllum weddellii
Xenoscapa fistulosa
Xenoscapa uliginosa
Xenostegia alatipes
Xenostegia medium
Xenostegia pinnata
Xenostegia sapinii
Xenostegia tridentata
Xeranthemum annuum
Xeranthemum cylindraceum
Xeranthemum inapertum
Xeranthemum longepapposum
Xeranthemum squarrosum
Xerochlamys bojeriana
Xerochlamys coriacea
Xerochlamys diospyroidea
Xerochlamys elliptica
Xerochlamys itremoensis
Xerochlamys tampoketsensis
Xerochlamys undulata
Xerochlamys villosa
Xerochloa barbata
Xerochloa imberbis
Xerochloa laniflora
Xerochrysum bicolor
Xerochrysum bracteatum
Xerochrysum leucopsideum
Xerochrysum macranthum
Xerochrysum milliganii
Xerochrysum palustre
Xerochrysum papillosum
Xerochrysum subundulatum
Xerochrysum viscosum
Xerocladia viridiramis
Xerodraba colobanthoides
Xerodraba glebaria
Xerodraba lycopodioides
Xerodraba monantha
Xerodraba patagonica
Xerodraba pectinata
Xerolirion divaricata
Xeronema callistemon
Xeronema moorei
Xerophyllum asphodeloides
Xerophyllum tenax
Xerophyta acuminata
Xerophyta adendorffii
Xerophyta andringitrensis
Xerophyta arabica
Xerophyta argentea
Xerophyta brevifolia
Xerophyta capillaris
Xerophyta cauliflora
Xerophyta concolor
Xerophyta connata
Xerophyta dasylirioides
Xerophyta demeesmaekeriana
Xerophyta eglandulosa
Xerophyta elegans
Xerophyta equisetoides
Xerophyta eylesii
Xerophyta glabra
Xerophyta glutinosa
Xerophyta goetzei
Xerophyta hereroensis
Xerophyta hirtiflora
Xerophyta humilis
Xerophyta junodii
Xerophyta kirkii
Xerophyta longicaulis
Xerophyta monroi
Xerophyta naegelsbachii
Xerophyta nutans
Xerophyta pauciramosa
Xerophyta pectinata
Xerophyta pinifolia
Xerophyta pinifolia
Xerophyta pseudopinifolia
Xerophyta purpurascens
Xerophyta rehmannii
Xerophyta retinervis
Xerophyta rippsteinii
Xerophyta rosea
Xerophyta scabrida
Xerophyta schlechteri
Xerophyta schnizleinia
Xerophyta seinei
Xerophyta sessiliflora
Xerophyta simulans
Xerophyta spekei
Xerophyta splendens
Xerophyta squarrosa
Xerophyta stenophylla
Xerophyta suaveolens
Xerophyta tanzaniana
Xerophyta trichophylla
Xerophyta tulearensis
Xerophyta vallispongolana
Xerophyta velutina
Xerophyta villosa
Xerophyta villosa
Xerophyta viscosa
Xerophyta wentzeliana
Xerophyta zimbabwensis
Xerorchis amazonica
Xerorchis trichorhiza
Xerosicyos danguyi
Xerosicyos decaryi
Xerosicyos hirtellus
Xerosicyos perrieri
Xerosicyos pubescens
Xerosicyos tripartitus
Xerosiphon angustiflorus
Xerosiphon aphyllus
Xerosollya gilbertii
Xerospermum bonii
Xerospermum laevigatum
Xerospermum noronhianum
Xerospiraea hartwegiana
Xerothamnella herbacea
Xerothamnella parvifolia
Xestaea lisianthoides
Ximenia americana
Ximenia caffra
Ximenia coriacea
Ximenia gabonensis
Ximenia glauca
Ximenia horrida
Ximenia intermedia
Ximenia parviflora
Ximenia perrieri
Ximenia pubescens
Ximenia roigii
Xiphidium caeruleum
Xiphidium xanthorrhizon
Xiphochaeta aquatica
Xiphotheca canescens
Xiphotheca canescens
Xiphotheca cordifolia
Xiphotheca elliptica
Xiphotheca fruticosa
Xiphotheca guthriei
Xiphotheca lanceolata
Xiphotheca phylicoides
Xiphotheca reflexa
Xiphotheca rosmarinifolia
Xiphotheca tecta
Xiphotheca tecta
Xiquexique frewenii
Xiquexique gounellei
Xiquexique heptagonus
Xiquexique tuberculatus
Xylacanthus laoticus
Xylanche himalaica
Xylanthemum fisherae
Xylanthemum gilletii
Xylanthemum lingulatum
Xylanthemum macropodum
Xylanthemum paghmanense
Xylanthemum pamiricum
Xylia africana
Xylia evansii
Xylia fraterna
Xylia ghesquierei
Xylia hoffmannii
Xylia mendoncae
Xylia schliebenii
Xylia torreana
Xylia xylocarpa
Xylobium alatum
Xylobium aurantiacum
Xylobium bractescens
Xylobium buchtienianum
Xylobium chapadense
Xylobium coelia
Xylobium colleyi
Xylobium corrugatum
Xylobium cuneiforme
Xylobium cylindrobulbon
Xylobium dusenii
Xylobium elatum
Xylobium elongatum
Xylobium flavescens
Xylobium foveatum
Xylobium hyacinthinum
Xylobium hypocritum
Xylobium leontoglossum
Xylobium medinae
Xylobium miliaceum
Xylobium modestum
Xylobium ornatum
Xylobium ortizianum
Xylobium pallidiflorum
Xylobium palmifolium
Xylobium palmifolium
Xylobium papillosum
Xylobium serratum
Xylobium squalens
Xylobium stanhopeifolium
Xylobium subintegrum
Xylobium subpulchrum
Xylobium sulfurinum
Xylobium tubilabium
Xylobium undulatum
Xylobium varicosum
Xylobium variegatum
Xylobium zarumense
Xylocalyx aculeolatus
Xylocalyx asper
Xylocalyx carterae
Xylocalyx hispidus
Xylocalyx recurvus
Xylocarpus gangeticus
Xylocarpus granatum
Xylocarpus moluccensis
Xylocarpus rumphii
Xylococcus bicolor
Xylomelum angustifolium
Xylomelum benthamii
Xylomelum cunninghamianum
Xylomelum occidentale
Xylomelum pyriforme
Xylomelum salicinum
Xylomelum scottianum
Xylonagra arborea
Xylonymus versteeghii
Xyloolaena humbertii
Xyloolaena perrieri
Xyloolaena richardii
Xyloolaena sambiranensis
Xyloolaena speciosa
Xylophragma corchoroides
Xylophragma harleyi
Xylophragma heterocalyx
Xylophragma myrianthum
Xylophragma platyphyllum
Xylophragma seemanniana
Xylophragma tenue
Xylophragma unifoliolatum
Xylopia acunae
Xylopia acutiflora
Xylopia aethiopica
Xylopia africana
Xylopia amazonica
Xylopia ambanjensis
Xylopia amoena
Xylopia amplexicaulis
Xylopia annoniflora
Xylopia anomala
Xylopia arenaria
Xylopia aromatica
Xylopia atlantica
Xylopia aurantiiodora
Xylopia australis
Xylopia barbata
Xylopia beananensis
Xylopia bemarivensis
Xylopia benthamii
Xylopia bocatorena
Xylopia brasiliensis
Xylopia buxifolia
Xylopia calophylla
Xylopia calosericea
Xylopia calva
Xylopia capuronii
Xylopia carinata
Xylopia caudata
Xylopia cayennensis
Xylopia championii
Xylopia chocoensis
Xylopia collina
Xylopia columbiana
Xylopia congolensis
Xylopia conjungens
Xylopia coriifolia
Xylopia crinita
Xylopia cupularis
Xylopia cuspidata
Xylopia danguyella
Xylopia decorticans
Xylopia degeneri
Xylopia dehiscens
Xylopia densiflora
Xylopia densifolia
Xylopia dibaccata
Xylopia dielsii
Xylopia dinklagei
Xylopia discreta
Xylopia egleriana
Xylopia ekmanii
Xylopia elliotii
Xylopia elliptica
Xylopia emarginata
Xylopia erythrodactyla
Xylopia excellens
Xylopia fananehanensis
Xylopia ferruginea
Xylopia flamignii
Xylopia flexuosa
Xylopia frutescens
Xylopia fusca
Xylopia galokothamna
Xylopia ghesquiereana
Xylopia gilbertii
Xylopia globosa
Xylopia glomerulosa
Xylopia gracilipes
Xylopia hastarum
Xylopia heterotricha
Xylopia holtzii
Xylopia humbertii
Xylopia humblotiana
Xylopia hypolampra
Xylopia hypolampsa
Xylopia involucrata
Xylopia jamaicensis
Xylopia javanica
Xylopia kalabenonensis
Xylopia katangensis
Xylopia keniensis
Xylopia kuchingensis
Xylopia lamarckii
Xylopia lamii
Xylopia lanceola
Xylopia lanceolata
Xylopia langsdorfiana
Xylopia lastelliana
Xylopia lemurica
Xylopia letestui
Xylopia ligustrifolia
Xylopia lokobensis
Xylopia longicaudata
Xylopia longicuspis
Xylopia longipetala
Xylopia longirostra
Xylopia lukei
Xylopia maasiana
Xylopia maccreai
Xylopia macrantha
Xylopia madagascariensis
Xylopia magna
Xylopia malayana
Xylopia marojejyana
Xylopia micans
Xylopia microcalyx
Xylopia mildbraedii
Xylopia monosperma
Xylopia monticola
Xylopia mucronata
Xylopia multiflora
Xylopia muricata
Xylopia mwasumbii
Xylopia nervosa
Xylopia ngii
Xylopia nigricans
Xylopia nilotica
Xylopia nitida
Xylopia niyomdhamii
Xylopia obtusifolia
Xylopia ochrantha
Xylopia odoratissima
Xylopia orestera
Xylopia orinocensis
Xylopia oxyantha
Xylopia pacifica
Xylopia pallescens
Xylopia panamensis
Xylopia pancheri
Xylopia paniculata
Xylopia papuana
Xylopia parviflora
Xylopia patoniae
Xylopia peekelii
Xylopia perrieri
Xylopia peruviana
Xylopia phloiodora
Xylopia pierrei
Xylopia piratae
Xylopia pittieri
Xylopia platycarpa
Xylopia platypetala
Xylopia plowmanii
Xylopia poilanei
Xylopia polyantha
Xylopia pulchella
Xylopia pulcherrima
Xylopia pygmaea
Xylopia pynaertii
Xylopia quintasii
Xylopia ravelonarivoi
Xylopia retusa
Xylopia richardii
Xylopia rigidiflora
Xylopia roigii
Xylopia rubescens
Xylopia sahafariensis
Xylopia schroederi
Xylopia sclerophylla
Xylopia sericea
Xylopia sericolampra
Xylopia sericophylla
Xylopia sessiliflora
Xylopia shirensis
Xylopia spruceana
Xylopia staudtii
Xylopia strilophylla
Xylopia sub-dehiscens
Xylopia sumatrana
Xylopia surinamensis
Xylopia talbotii
Xylopia tanganyikensis
Xylopia tenuipetala
Xylopia thomsonii
Xylopia tomentosa
Xylopia torrei
Xylopia toussaintii
Xylopia trichostemon
Xylopia unguiculata
Xylopia uniflora
Xylopia venezuelana
Xylopia vieillardii
Xylopia vielana
Xylopia villosa
Xylopia vitiensis
Xylopia wilwerthii
Xylopia xylantha
Xylopodia klaprothioides
Xylorhiza cognata
Xylorhiza confertifolia
Xylorhiza cronquistii
Xylorhiza frutescens
Xylorhiza glabriuscula
Xylorhiza linearifolia
Xylorhiza orcuttii
Xylorhiza tortifolia
Xylorhiza venusta
Xylorhiza wrightii
Xyloselinum laoticum
Xyloselinum leonidii
Xyloselinum vietnamense
Xylosma acunae
Xylosma avilae
Xylosma bahamensis
Xylosma benthamii
Xylosma bernardiana
Xylosma boliviana
Xylosma boulindae
Xylosma brachystachys
Xylosma buxifolia
Xylosma capillipes
Xylosma characantha
Xylosma chiapensis
Xylosma chlorantha
Xylosma ciliatifolia
Xylosma cinerea
Xylosma claraensis
Xylosma confusa
Xylosma congesta
Xylosma controversa
Xylosma cordata
Xylosma coriacea
Xylosma crenata
Xylosma domingensis
Xylosma dothioensis
Xylosma elegans
Xylosma fawcettii
Xylosma flexuosa
Xylosma gigantifolia
Xylosma glaberrima
Xylosma glaucescens
Xylosma grossecrenata
Xylosma guillauminii
Xylosma hawaiensis
Xylosma heterophylla
Xylosma hispidula
Xylosma horrida
Xylosma iberiensis
Xylosma inaequinervia
Xylosma intermedia
Xylosma lancifolia
Xylosma lifuana
Xylosma lineolata
Xylosma longifolia
Xylosma longipedicellata
Xylosma longipetiolata
Xylosma lucida
Xylosma luzonensis
Xylosma maidenii
Xylosma martinicensis
Xylosma molesta
Xylosma nelsonii
Xylosma nervosa
Xylosma nipensis
Xylosma nitida
Xylosma obovata
Xylosma oligandra
Xylosma orbiculata
Xylosma ovata
Xylosma pachyphylla
Xylosma palawanensis
Xylosma panamensis
Xylosma pancheri
Xylosma papuana
Xylosma parvifolia
Xylosma paucinervosa
Xylosma peltata
Xylosma pininsularis
Xylosma prockia
Xylosma proctorii
Xylosma prunifolia
Xylosma prunifolia
Xylosma pseudosalzmannii
Xylosma pubescens
Xylosma quichensis
Xylosma raimondii
Xylosma rhombifolia
Xylosma roigiana
Xylosma rubicunda
Xylosma ruiziana
Xylosma rusbyana
